Pno,Qual,InnocentUntilProvenGuilty
1,"I don't think that the final result of the trial is based on being detained or not before the trial. 

If the Judge do not have a problem with the accused X running away before the trial it should be fine.",No
3,"It would be my personal opinion that if the judge decided to not detain the accused until the trial, then there is still reasonable doubt if they are innocent or guilty. Regardless, there is no proof at this time, and I firmly believe in innocent until proven guilty. ",Yes
4,"He is allowed to be out of jail until the trial, which gives me reason to believe that the judges think he is a good man.",No
6,"maybe this means he is not dangerous, they would detained him if he was ",No
7,If the judge decided he should be allowed to be free (at least until the trial) it means he considers X to be not extremely dangerous.,No
8,"Not being detained until trial, gives me that impression",No
9,If the chance was higher I think he would have been detained.,No
10,if you are on trial for robbery and if the judge is determining whether x will be detained before trial there is a high probability that X will get out of prison,No
11,"I believe that, if that early on, they are doing nothing to detain him, there is a strong probability that they believe he is not worth convicting, and that he is not guilty. If they thought he was not innocent, they would probably detain him right away. ",No
12,Judge does not see him as a threat and likely to do it again until the trial so it is more likely he will not be convicted.,No
13,"Well the judge has already sided with him once, so I wouldnt be all that suprised if he sided with him again. ",No
14,"Low conviction rates for burglary
Judge felt safe not to be detained
",No
15,If x was likely to have commit the crime the judge would have put him in custody because he would be likely to make a run for it rather than standing trial. He has been left to walk free so the judge must be semi convinced he didn't do it.,No
17,Trusting a suspected burglar goes to far.,No
18,if the judge think that he is not a risk of skipping the country then he has let him be release to return for court date,No
19,If he is not detained then he is not considered dangerous.,No
21,"I can only assume that the judge has decided that X will not be detained up until his trial because the judge believes that X is not a threat to society. Therefore, this leads me to believe that the judge may have a strong inclination that X did not commit burglary. Still, X may have committed burglary regardless; that is why I have not rated X's probability of being convicted lower.",No
23,"The judge decided that X will not be detained up to his trial, that indicates that he is no danger to society. Burglaries are a violent crime, were he guilty he'd most likely be detained up to his trial.",No
24,"He's probably not dangerous to other people in society
I'm thinking that it can't be that bad, if he's not detained.",No
25,"I think if the judge decides not to detain him it is probably that he is not guilty, but sometimes this is just because he thinks the person X will not fleed the country.",No
26,If he's allowed to wait outside of jail until his trial it makes me feel that he's most likely innocent. ,No
27,"I think that the probability of X being convicted is very low, since he is going to be free until his trial.
If he were to be an important subject or a more ""serious"" case, I think there would be at least some conditions to be held until his trial.",No
29,"The judge obviously thinks the crime not serious enough to warrant detaining the man, he's not a dangerous or likely to re offend",No
30,"As X is not being detained there is clearly not enough or justifiable evidence that it was X who committed the burglary. However, he has been taken to trial which likely shows some evidence or statements have proven that he may be guilty.",No
31,The judge decided not to detain x up until their trial therefore he may have already formed the opinion that he is not guilty.,No
33,They might have just deemed him not a threat so detentions not needed. ,No
34,"It's hard to say with such little information. I put it lower than 50%, because I figure if he is not detained prior to trial maybe he is less of a threat of breaking the law? But I have no idea if that's how this really works. ",No
35,I dont yet know if there are any evidence or that the man even commited such a crime,No
